NMec = 98629
T = 27
P = 8
Profits ignored
Solution time = 2.686e-01
Programing Tasks = 17
Terminal Cases = 50
Task date  Profit    P
  0   15    1        -1  
  0   33    1        -1  
  1   18    1        -1  
  2   15    1        0   
  3   18    1        -1  
  4   21    1        1   
  5   33    1        -1  
  6   13    1        2   
  6   23    1        -1  
  7   10    1        3   
  7   16    1        4   
  7   17    1        5   
  7   30    1        -1  
  8   19    1        6   
  8   32    1        -1  
  9   14    1        7   
  9   24    1        -1  
  13  18    1        3   
  13  33    1        -1  
  14  27    1        2   
  17  30    1        0   
  17  31    1        4   
  17  33    1        7   
  21  27    1        3   
  22  24    1        1   
  22  32    1        5   
  23  32    1        6   
End
