NMec = 98629
T = 36
P = 7
Profits ignored
Solution time = 1.374e+02
Programing Tasks = 23
Terminal Cases = 31925
Task date  Profit    P
  0   39    1        -1  
  2   18    1        0   
  3   13    1        1   
  6   13    1        2   
  6   23    1        -1  
  6   47    1        -1  
  7   22    1        -1  
  9   31    1        -1  
  11  30    1        -1  
  13  21    1        3   
  14  20    1        1   
  14  31    1        -1  
  15  18    1        2   
  16  26    1        -1  
  16  31    1        4   
  17  38    1        -1  
  18  29    1        5   
  20  29    1        0   
  20  32    1        2   
  20  37    1        6   
  24  33    1        1   
  24  36    1        3   
  32  40    1        0   
  33  41    1        2   
  33  48    1        -1  
  34  44    1        -1  
  34  51    1        -1  
  35  47    1        -1  
  36  37    1        1   
  36  44    1        4   
  36  51    1        5   
  37  50    1        3   
  38  50    1        1   
  41  48    1        0   
  42  47    1        2   
  42  50    1        6   
End
