NMec = 98629
T = 36
P = 8
Profits ignored
Solution time = 6.469e+01
Programing Tasks = 23
Terminal Cases = 134
Task date  Profit    P
  1   9     1        0   
  3   15    1        1   
  3   30    1        -1  
  7   21    1        -1  
  8   25    1        2   
  8   30    1        -1  
  9   23    1        3   
  9   41    1        -1  
  10  27    1        -1  
  12  20    1        0   
  12  28    1        4   
  12  36    1        -1  
  14  29    1        -1  
  14  34    1        -1  
  15  26    1        5   
  16  29    1        -1  
  17  24    1        1   
  17  28    1        6   
  18  34    1        -1  
  19  22    1        7   
  21  25    1        0   
  22  38    1        -1  
  22  43    1        -1  
  23  30    1        7   
  24  35    1        3   
  24  36    1        -1  
  25  31    1        1   
  26  36    1        0   
  26  38    1        2   
  28  36    1        5   
  29  37    1        4   
  29  42    1        6   
  31  37    1        7   
  34  42    1        1   
  36  40    1        3   
  40  44    1        0   
End
