NMec = 98629
T = 33
P = 1
Profits ignored
Solution time = 9.265e-03
Programing Tasks = 13
Terminal Cases = 288
Task date  Profit    P
  6   32    1        -1  
  8   21    1        0   
  19  73    1        -1  
  27  157   1        -1  
  27  228   1        -1  
  30  31    1        0   
  36  54    1        -1  
  41  50    1        0   
  42  54    1        -1  
  53  65    1        0   
  57  71    1        -1  
  69  73    1        -1  
  71  81    1        0   
  89  98    1        0   
  110 127   1        -1  
  115 122   1        0   
  137 155   1        -1  
  140 150   1        0   
  191 306   1        -1  
  192 206   1        -1  
  198 209   1        0   
  200 219   1        -1  
  201 245   1        -1  
  213 217   1        0   
  254 265   1        -1  
  259 266   1        0   
  266 281   1        -1  
  267 284   1        -1  
  272 281   1        -1  
  272 284   1        -1  
  274 280   1        0   
  289 299   1        -1  
  294 305   1        0   
End
