NMec = 98629
T = 30
P = 5
Profits ignored
Solution time = 1.228e+00
Programing Tasks = 21
Terminal Cases = 133
Task date  Profit    P
  0   33    1        -1  
  1   2     1        0   
  1   11    1        1   
  2   10    1        2   
  9   14    1        0   
  9   24    1        3   
  11  16    1        2   
  11  29    1        -1  
  12  20    1        1   
  13  21    1        4   
  15  18    1        0   
  18  25    1        2   
  18  44    1        -1  
  19  34    1        -1  
  20  35    1        -1  
  22  35    1        0   
  22  41    1        -1  
  23  44    1        -1  
  24  30    1        1   
  25  36    1        3   
  26  39    1        -1  
  26  49    1        2   
  28  44    1        4   
  31  38    1        1   
  36  50    1        -1  
  38  52    1        0   
  38  56    1        3   
  39  56    1        1   
  47  57    1        4   
  50  54    1        2   
End
