NMec = 98629
T = 32
P = 7
Profits ignored
Solution time = 7.234e+00
Programing Tasks = 20
Terminal Cases = 5406
Task date  Profit    P
  0   11    1        -1  
  0   16    1        0   
  1   10    1        1   
  1   44    1        -1  
  4   19    1        -1  
  4   20    1        -1  
  6   13    1        2   
  6   23    1        3   
  6   42    1        -1  
  7   25    1        4   
  8   20    1        5   
  9   28    1        6   
  10  35    1        -1  
  11  24    1        1   
  12  35    1        -1  
  16  37    1        -1  
  18  20    1        0   
  18  22    1        2   
  19  40    1        -1  
  21  31    1        0   
  21  42    1        -1  
  23  44    1        -1  
  24  43    1        -1  
  24  45    1        2   
  25  32    1        1   
  25  35    1        3   
  27  36    1        4   
  28  34    1        5   
  30  44    1        6   
  33  44    1        0   
  34  42    1        1   
  37  42    1        3   
End
