NMec = 98629
T = 30
P = 3
Profits ignored
Solution time = 5.079e-02
Programing Tasks = 17
Terminal Cases = 41
Task date  Profit    P
  1   8     1        0   
  1   97    1        -1  
  4   20    1        -1  
  5   10    1        1   
  6   14    1        2   
  10  90    1        -1  
  11  63    1        -1  
  11  92    1        -1  
  12  34    1        -1  
  16  26    1        0   
  16  26    1        1   
  17  30    1        2   
  20  91    1        -1  
  21  38    1        -1  
  24  40    1        -1  
  28  41    1        -1  
  30  71    1        -1  
  33  63    1        -1  
  34  49    1        0   
  34  57    1        -1  
  35  40    1        1   
  35  53    1        2   
  48  54    1        1   
  52  62    1        0   
  58  79    1        1   
  70  80    1        0   
  75  91    1        2   
  81  82    1        0   
  81  99    1        1   
  85  93    1        0   
End
