NMec = 98629
T = 36
P = 6
Profits ignored
Solution time = 6.199e+01
Programing Tasks = 22
Terminal Cases = 22388
Task date  Profit    P
  0   10    1        0   
  0   15    1        -1  
  1   24    1        -1  
  2   16    1        -1  
  3   18    1        1   
  5   14    1        2   
  5   29    1        -1  
  8   9     1        3   
  8   19    1        4   
  9   22    1        -1  
  11  27    1        -1  
  12  21    1        0   
  13  31    1        3   
  14  34    1        5   
  14  40    1        -1  
  15  57    1        -1  
  18  27    1        2   
  20  28    1        1   
  20  32    1        4   
  20  42    1        -1  
  22  42    1        -1  
  22  43    1        -1  
  24  47    1        -1  
  27  38    1        -1  
  31  35    1        0   
  31  44    1        -1  
  32  42    1        1   
  33  48    1        2   
  34  43    1        3   
  34  56    1        4   
  36  51    1        0   
  37  55    1        5   
  46  56    1        1   
  48  55    1        3   
  49  54    1        2   
  54  59    1        0   
End
