NMec = 98629
T = 34
P = 8
Profits ignored
Solution time = 1.833e+01
Programing Tasks = 21
Terminal Cases = 1896
Task date  Profit    P
  0   8     1        0   
  1   7     1        1   
  1   40    1        -1  
  2   14    1        2   
  2   39    1        -1  
  3   27    1        3   
  7   23    1        4   
  9   29    1        -1  
  11  20    1        0   
  12  25    1        1   
  12  30    1        -1  
  13  39    1        -1  
  16  24    1        2   
  16  24    1        5   
  18  29    1        6   
  18  33    1        -1  
  18  41    1        -1  
  21  39    1        -1  
  21  40    1        -1  
  23  33    1        -1  
  23  37    1        -1  
  24  29    1        0   
  24  34    1        -1  
  24  41    1        -1  
  25  34    1        2   
  25  40    1        4   
  25  41    1        5   
  26  32    1        1   
  27  32    1        7   
  28  34    1        3   
  31  34    1        0   
  31  38    1        6   
  34  41    1        1   
  40  42    1        0   
End
