NMec = 98629
T = 30
P = 8
Profits ignored
Solution time = 3.969e+00
Programing Tasks = 21
Terminal Cases = 5098
Task date  Profit    P
  0   6     1        -1  
  0   7     1        -1  
  0   19    1        -1  
  1   12    1        0   
  1   17    1        1   
  1   22    1        -1  
  3   7     1        2   
  3   9     1        3   
  3   14    1        4   
  3   21    1        -1  
  4   16    1        5   
  6   12    1        6   
  6   15    1        7   
  6   31    1        -1  
  9   35    1        -1  
  12  16    1        2   
  13  24    1        -1  
  13  33    1        -1  
  13  36    1        0   
  14  20    1        3   
  16  23    1        4   
  16  28    1        6   
  17  23    1        2   
  18  21    1        1   
  19  24    1        5   
  19  27    1        7   
  24  31    1        1   
  25  27    1        2   
  26  34    1        3   
  33  36    1        1   
End
