NMec = 98629
T = 34
P = 7
Profits ignored
Solution time = 2.220e+01
Programing Tasks = 21
Terminal Cases = 7178
Task date  Profit    P
  3   18    1        0   
  4   18    1        1   
  6   25    1        -1  
  7   20    1        2   
  7   23    1        -1  
  7   48    1        -1  
  8   14    1        3   
  8   22    1        -1  
  8   23    1        -1  
  9   22    1        -1  
  11  25    1        -1  
  11  48    1        -1  
  14  26    1        -1  
  14  32    1        -1  
  15  30    1        3   
  15  32    1        4   
  16  28    1        5   
  17  31    1        6   
  18  44    1        -1  
  19  34    1        0   
  20  30    1        1   
  22  30    1        2   
  25  42    1        -1  
  31  36    1        1   
  31  39    1        -1  
  33  37    1        2   
  33  41    1        3   
  33  45    1        4   
  34  43    1        5   
  35  40    1        0   
  36  41    1        6   
  38  42    1        1   
  38  47    1        2   
  41  45    1        0   
End
