NMec = 98629
T = 34
P = 1
Profits ignored
Solution time = 3.623e-02
Programing Tasks = 14
Terminal Cases = 2880
Task date  Profit    P
  5   23    1        -1  
  8   17    1        0   
  22  28    1        0   
  24  315   1        -1  
  29  41    1        -1  
  30  42    1        -1  
  31  50    1        -1  
  39  48    1        -1  
  39  50    1        -1  
  41  49    1        0   
  59  311   1        -1  
  66  83    1        -1  
  73  84    1        -1  
  74  91    1        -1  
  75  80    1        0   
  112 123   1        0   
  133 150   1        -1  
  135 145   1        -1  
  142 158   1        0   
  143 162   1        -1  
  160 167   1        -1  
  160 177   1        0   
  191 195   1        0   
  216 235   1        -1  
  216 237   1        0   
  243 253   1        -1  
  247 249   1        0   
  253 275   1        -1  
  264 274   1        -1  
  270 274   1        0   
  286 293   1        0   
  294 304   1        -1  
  294 310   1        0   
  315 324   1        0   
End
