NMec = 98629
T = 30
P = 6
Profits ignored
Solution time = 8.181e-01
Programing Tasks = 16
Terminal Cases = 136797
Task date  Profit    P
  0   5     1        0   
  0   20    1        -1  
  1   24    1        -1  
  3   21    1        -1  
  3   41    1        -1  
  4   18    1        1   
  4   36    1        -1  
  7   13    1        0   
  9   19    1        -1  
  10  22    1        -1  
  12  31    1        -1  
  12  32    1        -1  
  14  23    1        0   
  14  23    1        2   
  16  26    1        3   
  18  24    1        4   
  18  32    1        5   
  19  28    1        1   
  20  44    1        -1  
  21  35    1        -1  
  24  44    1        -1  
  25  36    1        -1  
  26  44    1        -1  
  26  46    1        0   
  29  44    1        1   
  31  47    1        2   
  33  40    1        3   
  34  39    1        4   
  34  48    1        5   
  45  48    1        1   
End
