NMec = 98629
T = 30
P = 7
Profits ignored
Solution time = 6.308e-01
Programing Tasks = 15
Terminal Cases = 143700
Task date  Profit    P
  1   7     1        0   
  2   11    1        1   
  2   12    1        2   
  4   23    1        3   
  6   18    1        4   
  6   22    1        5   
  8   16    1        0   
  9   25    1        6   
  11  32    1        -1  
  13  26    1        1   
  13  33    1        2   
  14  34    1        -1  
  15  28    1        -1  
  16  22    1        -1  
  16  31    1        -1  
  16  38    1        -1  
  17  24    1        0   
  18  24    1        -1  
  18  35    1        -1  
  19  36    1        4   
  20  25    1        -1  
  20  31    1        -1  
  20  37    1        -1  
  20  40    1        -1  
  21  37    1        -1  
  22  37    1        -1  
  22  37    1        -1  
  25  26    1        0   
  27  35    1        0   
  38  41    1        0   
End
