NMec = 98629
T = 31
P = 5
Profits ignored
Solution time = 1.697e+00
Programing Tasks = 20
Terminal Cases = 391
Task date  Profit    P
  0   21    1        0   
  1   2     1        1   
  1   10    1        2   
  4   59    1        -1  
  5   20    1        1   
  5   25    1        -1  
  7   27    1        -1  
  8   61    1        -1  
  12  14    1        2   
  12  29    1        -1  
  13  27    1        3   
  13  36    1        -1  
  18  38    1        2   
  20  45    1        -1  
  23  24    1        0   
  23  38    1        1   
  24  28    1        4   
  27  32    1        0   
  28  43    1        -1  
  29  45    1        -1  
  32  42    1        3   
  32  48    1        4   
  33  53    1        -1  
  34  54    1        -1  
  38  48    1        0   
  40  48    1        1   
  41  52    1        2   
  43  57    1        3   
  50  60    1        0   
  51  60    1        1   
  51  61    1        4   
End
