NMec = 98629
T = 27
P = 2
Profits ignored
Solution time = 4.244e-02
Programing Tasks = 16
Terminal Cases = 350
Task date  Profit    P
  8   15    1        0   
  9   23    1        -1  
  10  23    1        -1  
  18  21    1        0   
  20  27    1        1   
  25  36    1        0   
  31  50    1        -1  
  39  41    1        0   
  39  46    1        -1  
  41  52    1        -1  
  42  46    1        0   
  42  48    1        1   
  46  59    1        -1  
  50  57    1        0   
  56  62    1        1   
  65  74    1        0   
  75  100   1        0   
  89  104   1        -1  
  95  103   1        1   
  100 111   1        -1  
  100 120   1        -1  
  102 110   1        0   
  109 119   1        1   
  117 128   1        -1  
  118 131   1        -1  
  120 128   1        0   
  124 134   1        1   
End
