NMec = 98629
T = 33
P = 5
Profits ignored
Solution time = 3.975e+00
Programing Tasks = 21
Terminal Cases = 288
Task date  Profit    P
  0   19    1        0   
  0   37    1        -1  
  0   40    1        -1  
  0   63    1        -1  
  3   30    1        -1  
  5   10    1        1   
  5   11    1        2   
  6   21    1        3   
  7   21    1        4   
  11  31    1        -1  
  11  34    1        -1  
  17  28    1        -1  
  18  28    1        -1  
  18  28    1        -1  
  21  26    1        0   
  21  26    1        1   
  22  38    1        -1  
  23  36    1        2   
  23  43    1        -1  
  24  36    1        3   
  26  30    1        4   
  27  33    1        0   
  32  43    1        1   
  32  47    1        -1  
  33  38    1        4   
  40  45    1        0   
  40  53    1        2   
  43  49    1        3   
  43  58    1        4   
  46  61    1        0   
  47  56    1        1   
  52  62    1        3   
  57  63    1        1   
End
