NMec = 98629
T = 40
P = 7
Profits ignored
Solution time = 5.188e+02
Programing Tasks = 24
Terminal Cases = 15060
Task date  Profit    P
  0   26    1        -1  
  1   48    1        -1  
  2   53    1        -1  
  3   8     1        0   
  3   33    1        -1  
  5   25    1        -1  
  8   24    1        -1  
  8   42    1        -1  
  9   44    1        -1  
  10  20    1        -1  
  10  21    1        0   
  13  20    1        1   
  13  23    1        2   
  16  25    1        3   
  17  26    1        -1  
  17  29    1        4   
  18  36    1        5   
  19  28    1        6   
  21  31    1        1   
  22  48    1        -1  
  23  33    1        0   
  24  33    1        2   
  25  42    1        -1  
  25  46    1        -1  
  25  46    1        -1  
  26  34    1        3   
  30  35    1        4   
  31  44    1        -1  
  32  50    1        -1  
  33  39    1        1   
  34  39    1        0   
  34  47    1        2   
  35  46    1        3   
  36  49    1        4   
  37  55    1        5   
  38  45    1        6   
  40  46    1        0   
  41  46    1        1   
  46  57    1        6   
  49  55    1        0   
End
