NMec = 98629
T = 27
P = 5
Profits ignored
Solution time = 1.080e-01
Programing Tasks = 18
Terminal Cases = 11
Task date  Profit    P
  0   53    1        -1  
  1   9     1        0   
  2   25    1        -1  
  2   36    1        -1  
  3   6     1        1   
  3   11    1        2   
  3   21    1        -1  
  4   36    1        -1  
  5   11    1        3   
  9   11    1        1   
  13  20    1        0   
  13  53    1        -1  
  14  34    1        -1  
  15  23    1        1   
  15  27    1        2   
  17  31    1        -1  
  18  33    1        -1  
  19  20    1        3   
  19  29    1        4   
  21  42    1        0   
  25  37    1        1   
  30  44    1        2   
  31  33    1        3   
  31  46    1        4   
  38  41    1        1   
  45  52    1        0   
  46  50    1        1   
End
