NMec = 98629
T = 28
P = 1
Profits ignored
Solution time = 1.003e-03
Programing Tasks = 11
Terminal Cases = 288
Task date  Profit    P
  4   17    1        0   
  14  191   1        -1  
  17  64    1        -1  
  26  91    1        -1  
  30  39    1        -1  
  38  53    1        0   
  74  96    1        -1  
  79  83    1        0   
  86  89    1        0   
  93  103   1        -1  
  97  98    1        0   
  100 117   1        -1  
  102 121   1        -1  
  104 113   1        -1  
  106 129   1        -1  
  108 116   1        0   
  116 135   1        -1  
  124 143   1        0   
  147 157   1        0   
  175 200   1        -1  
  185 188   1        -1  
  185 196   1        0   
  231 244   1        -1  
  236 249   1        -1  
  236 262   1        -1  
  241 254   1        0   
  258 274   1        -1  
  261 270   1        0   
End
