NMec = 98629
T = 33
P = 8
Profits ignored
Solution time = 2.731e+01
Programing Tasks = 22
Terminal Cases = 15733
Task date  Profit    P
  0   20    1        -1  
  1   18    1        -1  
  1   20    1        -1  
  1   41    1        -1  
  2   24    1        -1  
  3   4     1        0   
  5   18    1        -1  
  6   15    1        -1  
  8   16    1        0   
  8   32    1        -1  
  9   17    1        1   
  11  21    1        2   
  11  22    1        3   
  11  29    1        -1  
  12  13    1        4   
  12  14    1        5   
  12  16    1        6   
  12  25    1        7   
  15  27    1        4   
  15  31    1        -1  
  17  28    1        0   
  17  37    1        -1  
  20  28    1        1   
  20  29    1        5   
  22  29    1        2   
  24  36    1        3   
  27  35    1        6   
  27  40    1        7   
  28  40    1        4   
  29  39    1        0   
  30  40    1        1   
  34  40    1        2   
  34  41    1        5   
End
