NMec = 98629
T = 36
P = 1
Profits ignored
Solution time = 1.159e-01
Programing Tasks = 16
Terminal Cases = 1728
Task date  Profit    P
  8   18    1        0   
  8   353   1        -1  
  9   346   1        -1  
  23  41    1        -1  
  26  29    1        -1  
  26  33    1        0   
  30  232   1        -1  
  52  60    1        0   
  58  73    1        -1  
  71  84    1        0   
  81  248   1        -1  
  95  102   1        0   
  103 119   1        -1  
  107 114   1        0   
  122 130   1        0   
  135 148   1        -1  
  145 156   1        0   
  155 291   1        -1  
  159 172   1        -1  
  171 189   1        0   
  223 237   1        -1  
  227 242   1        -1  
  228 233   1        0   
  247 258   1        -1  
  252 257   1        0   
  260 283   1        -1  
  263 271   1        0   
  267 282   1        -1  
  281 290   1        0   
  292 301   1        -1  
  298 306   1        0   
  310 331   1        -1  
  312 316   1        -1  
  316 324   1        0   
  336 350   1        -1  
  336 351   1        0   
End
