NMec = 98629
T = 38
P = 3
Profits ignored
Solution time = 2.187e+01
Programing Tasks = 22
Terminal Cases = 1010
Task date  Profit    P
  1   12    1        0   
  4   16    1        1   
  5   29    1        2   
  9   28    1        -1  
  10  22    1        -1  
  10  24    1        -1  
  13  39    1        0   
  13  125   1        -1  
  17  24    1        1   
  17  36    1        -1  
  17  39    1        -1  
  19  47    1        -1  
  20  36    1        -1  
  21  84    1        -1  
  26  44    1        1   
  29  40    1        -1  
  29  57    1        -1  
  31  50    1        2   
  42  54    1        0   
  53  59    1        1   
  53  72    1        2   
  56  66    1        0   
  57  69    1        -1  
  58  61    1        -1  
  69  75    1        0   
  70  73    1        1   
  70  121   1        -1  
  74  93    1        1   
  79  106   1        0   
  88  107   1        2   
  89  104   1        -1  
  91  99    1        -1  
  99  117   1        1   
  100 110   1        -1  
  105 114   1        -1  
  111 114   1        0   
  121 123   1        0   
  121 126   1        1   
End
