NMec = 98629
T = 40
P = 4
Profits ignored
Solution time = 4.991e+01
Programing Tasks = 22
Terminal Cases = 2380
Task date  Profit    P
  2   97    1        -1  
  3   28    1        -1  
  6   56    1        -1  
  7   17    1        0   
  8   29    1        -1  
  10  55    1        -1  
  11  18    1        1   
  11  31    1        -1  
  12  38    1        -1  
  15  61    1        -1  
  16  26    1        2   
  17  30    1        3   
  17  36    1        -1  
  19  29    1        0   
  25  41    1        -1  
  26  41    1        1   
  29  54    1        2   
  33  45    1        0   
  34  39    1        3   
  34  69    1        -1  
  42  62    1        -1  
  44  86    1        -1  
  45  52    1        1   
  45  76    1        -1  
  47  62    1        0   
  49  68    1        -1  
  55  64    1        -1  
  57  66    1        -1  
  57  71    1        1   
  61  63    1        2   
  61  80    1        3   
  63  72    1        0   
  65  77    1        2   
  72  75    1        1   
  73  83    1        0   
  77  89    1        -1  
  78  89    1        1   
  79  90    1        2   
  82  94    1        3   
  86  94    1        0   
End
