NMec = 98629
T = 40
P = 1
Profits ignored
Solution time = 1.836e-01
Programing Tasks = 16
Terminal Cases = 1904
Task date  Profit    P
  7   30    1        -1  
  16  26    1        0   
  31  36    1        -1  
  34  41    1        0   
  40  56    1        -1  
  43  51    1        -1  
  49  60    1        -1  
  51  60    1        0   
  62  387   1        -1  
  68  85    1        -1  
  75  86    1        -1  
  76  226   1        -1  
  79  90    1        -1  
  80  90    1        -1  
  81  92    1        0   
  86  111   1        -1  
  90  101   1        -1  
  91  98    1        -1  
  94  100   1        -1  
  95  100   1        0   
  134 320   1        -1  
  140 155   1        0   
  159 172   1        -1  
  169 177   1        0   
  174 199   1        -1  
  178 183   1        -1  
  178 185   1        0   
  189 203   1        -1  
  197 200   1        0   
  229 245   1        0   
  251 263   1        0   
  258 281   1        -1  
  265 270   1        0   
  269 281   1        -1  
  271 282   1        0   
  314 329   1        0   
  325 334   1        -1  
  328 342   1        -1  
  333 341   1        0   
  372 391   1        0   
End
