NMec = 98629
T = 40
P = 2
Profits ignored
Solution time = 6.917e+00
Programing Tasks = 22
Terminal Cases = 594
Task date  Profit    P
  15  21    1        0   
  15  76    1        -1  
  15  162   1        -1  
  18  27    1        1   
  21  39    1        -1  
  22  44    1        -1  
  26  33    1        0   
  27  166   1        -1  
  29  35    1        -1  
  29  49    1        -1  
  29  193   1        -1  
  30  42    1        -1  
  31  42    1        1   
  33  80    1        -1  
  35  44    1        0   
  36  57    1        -1  
  43  55    1        -1  
  47  55    1        0   
  49  56    1        1   
  61  81    1        -1  
  62  73    1        0   
  68  80    1        1   
  80  89    1        0   
  82  101   1        -1  
  88  89    1        1   
  92  102   1        -1  
  93  107   1        0   
  94  105   1        1   
  108 115   1        0   
  112 118   1        1   
  116 125   1        0   
  141 156   1        -1  
  142 150   1        0   
  150 155   1        1   
  157 163   1        0   
  161 172   1        1   
  161 175   1        -1  
  171 181   1        -1  
  174 183   1        0   
  175 183   1        1   
End
