NMec = 98629
T = 36
P = 5
Profits ignored
Solution time = 1.623e+01
Programing Tasks = 21
Terminal Cases = 2304
Task date  Profit    P
  4   49    1        -1  
  6   25    1        -1  
  9   33    1        -1  
  17  31    1        -1  
  18  23    1        0   
  19  20    1        1   
  19  24    1        2   
  19  31    1        -1  
  20  29    1        3   
  20  56    1        -1  
  20  63    1        -1  
  21  28    1        1   
  21  70    1        -1  
  23  31    1        4   
  24  32    1        0   
  25  40    1        -1  
  27  39    1        2   
  28  50    1        -1  
  29  55    1        -1  
  30  43    1        -1  
  31  48    1        1   
  32  49    1        3   
  33  52    1        0   
  34  39    1        4   
  40  45    1        2   
  42  46    1        4   
  42  61    1        -1  
  45  60    1        -1  
  45  67    1        -1  
  48  58    1        2   
  51  56    1        1   
  53  62    1        0   
  53  63    1        3   
  57  69    1        1   
  57  71    1        4   
  60  70    1        2   
End
