NMec = 98629
T = 28
P = 6
Profits ignored
Solution time = 3.623e-01
Programing Tasks = 18
Terminal Cases = 165
Task date  Profit    P
  0   8     1        0   
  0   20    1        1   
  1   7     1        2   
  3   14    1        3   
  5   15    1        4   
  6   37    1        -1  
  7   14    1        5   
  9   16    1        0   
  10  36    1        -1  
  12  19    1        2   
  16  24    1        3   
  16  34    1        -1  
  16  44    1        -1  
  19  33    1        0   
  20  44    1        -1  
  21  29    1        1   
  21  34    1        -1  
  23  44    1        -1  
  26  30    1        2   
  26  44    1        -1  
  28  37    1        -1  
  28  38    1        -1  
  28  39    1        3   
  28  43    1        4   
  29  44    1        5   
  30  44    1        1   
  31  46    1        2   
  34  40    1        0   
End
