NMec = 98629
T = 36
P = 4
Profits ignored
Solution time = 1.714e+01
Programing Tasks = 22
Terminal Cases = 470
Task date  Profit    P
  2   87    1        -1  
  4   10    1        0   
  7   31    1        -1  
  16  35    1        -1  
  18  27    1        0   
  19  27    1        1   
  19  39    1        -1  
  21  25    1        2   
  24  25    1        3   
  24  36    1        -1  
  24  72    1        -1  
  27  46    1        2   
  29  53    1        -1  
  30  38    1        0   
  32  73    1        -1  
  33  43    1        1   
  35  38    1        3   
  39  46    1        0   
  46  70    1        -1  
  48  55    1        0   
  48  56    1        1   
  48  68    1        2   
  49  62    1        3   
  58  60    1        0   
  59  74    1        -1  
  63  86    1        -1  
  67  75    1        -1  
  67  80    1        -1  
  67  88    1        -1  
  68  74    1        0   
  69  83    1        1   
  70  71    1        2   
  71  79    1        3   
  72  76    1        2   
  76  85    1        0   
  83  87    1        2   
End
