NMec = 98629
T = 33
P = 2
Profits ignored
Solution time = 4.032e-01
Programing Tasks = 17
Terminal Cases = 846
Task date  Profit    P
  0   164   1        0   
  15  25    1        1   
  18  30    1        -1  
  26  68    1        1   
  36  43    1        -1  
  45  59    1        -1  
  46  66    1        -1  
  48  74    1        -1  
  52  69    1        -1  
  62  69    1        -1  
  62  71    1        -1  
  72  93    1        1   
  74  81    1        -1  
  78  88    1        -1  
  81  82    1        -1  
  82  91    1        -1  
  90  96    1        -1  
  90  108   1        -1  
  98  108   1        1   
  102 116   1        -1  
  102 136   1        -1  
  107 124   1        -1  
  113 133   1        1   
  114 122   1        -1  
  116 137   1        -1  
  117 124   1        -1  
  118 123   1        -1  
  135 157   1        1   
  137 148   1        -1  
  140 157   1        -1  
  146 158   1        -1  
  147 148   1        -1  
  155 161   1        -1  
End
