NMec = 98629
T = 27
P = 3
Profits ignored
Solution time = 1.651e-02
Programing Tasks = 16
Terminal Cases = 60
Task date  Profit    P
  0   62    1        -1  
  2   11    1        0   
  6   13    1        1   
  8   82    1        -1  
  9   24    1        2   
  11  28    1        -1  
  11  76    1        -1  
  15  81    1        -1  
  17  40    1        -1  
  18  32    1        -1  
  19  78    1        -1  
  23  31    1        -1  
  24  35    1        0   
  27  39    1        1   
  28  37    1        2   
  36  45    1        0   
  37  63    1        -1  
  40  51    1        1   
  46  58    1        0   
  52  60    1        1   
  54  64    1        2   
  60  79    1        -1  
  65  75    1        0   
  66  79    1        1   
  68  72    1        2   
  75  89    1        2   
  76  85    1        0   
End
