NMec = 98629
T = 30
P = 1
Profits ignored
Solution time = 5.894e-03
Programing Tasks = 14
Terminal Cases = 96
Task date  Profit    P
  6   19    1        0   
  13  288   1        -1  
  13  288   1        -1  
  25  38    1        -1  
  34  44    1        0   
  59  64    1        -1  
  62  78    1        0   
  84  112   1        -1  
  87  110   1        0   
  125 140   1        -1  
  126 129   1        0   
  127 152   1        -1  
  133 144   1        -1  
  135 146   1        -1  
  138 142   1        0   
  142 155   1        -1  
  153 159   1        0   
  153 174   1        -1  
  158 166   1        -1  
  162 168   1        0   
  169 177   1        -1  
  171 182   1        0   
  189 198   1        0   
  225 228   1        0   
  227 242   1        -1  
  237 246   1        0   
  256 259   1        0   
  257 281   1        -1  
  266 277   1        -1  
  276 282   1        0   
End
