NMec = 98629
T = 32
P = 1
Profits ignored
Solution time = 1.763e-03
Programing Tasks = 13
Terminal Cases = 9
Task date  Profit    P
  0   11    1        -1  
  1   28    1        -1  
  1   117   1        -1  
  3   12    1        -1  
  8   255   1        -1  
  9   19    1        0   
  10  29    1        -1  
  11  31    1        -1  
  16  245   1        -1  
  22  39    1        0   
  42  51    1        0   
  58  67    1        0   
  67  85    1        -1  
  71  81    1        0   
  75  94    1        -1  
  77  86    1        -1  
  79  85    1        -1  
  83  94    1        0   
  99  118   1        0   
  102 121   1        -1  
  103 126   1        -1  
  119 129   1        0   
  142 158   1        0   
  180 291   1        -1  
  192 217   1        -1  
  205 228   1        -1  
  208 210   1        0   
  216 227   1        0   
  234 251   1        0   
  280 297   1        -1  
  282 291   1        -1  
  284 299   1        0   
End
