NMec = 98629
T = 28
P = 2
Profits ignored
Solution time = 1.865e-02
Programing Tasks = 14
Terminal Cases = 675
Task date  Profit    P
  12  22    1        -1  
  17  28    1        0   
  19  32    1        1   
  29  43    1        -1  
  30  52    1        0   
  36  49    1        1   
  43  73    1        -1  
  46  59    1        -1  
  47  115   1        -1  
  51  60    1        1   
  56  70    1        -1  
  59  63    1        0   
  61  67    1        1   
  69  88    1        0   
  77  95    1        -1  
  80  94    1        -1  
  81  93    1        1   
  84  108   1        -1  
  87  107   1        -1  
  89  101   1        0   
  91  109   1        -1  
  98  109   1        -1  
  100 126   1        1   
  102 115   1        0   
  122 138   1        -1  
  123 133   1        -1  
  123 134   1        0   
  130 134   1        1   
End
