NMec = 98629
T = 40
P = 8
Profits ignored
Solution time = 1.741e+03
Programing Tasks = 27
Terminal Cases = 28315
Task date  Profit    P
  0   5     1        0   
  0   19    1        -1  
  1   14    1        1   
  1   15    1        2   
  2   5     1        3   
  2   8     1        4   
  2   12    1        5   
  2   22    1        -1  
  5   17    1        -1  
  5   27    1        -1  
  5   31    1        -1  
  7   17    1        -1  
  7   18    1        -1  
  8   13    1        0   
  8   20    1        3   
  8   40    1        -1  
  9   23    1        -1  
  10  23    1        4   
  10  24    1        6   
  10  35    1        -1  
  14  24    1        0   
  14  31    1        5   
  14  32    1        -1  
  15  27    1        1   
  16  24    1        2   
  17  25    1        7   
  19  39    1        -1  
  23  31    1        3   
  28  33    1        0   
  28  35    1        -1  
  28  38    1        1   
  29  36    1        2   
  29  49    1        4   
  30  41    1        6   
  32  36    1        3   
  32  42    1        5   
  32  47    1        7   
  35  45    1        0   
  38  44    1        2   
  40  49    1        1   
End
