NMec = 98629
T = 37
P = 1
Profits ignored
Solution time = 4.138e-02
Programing Tasks = 15
Terminal Cases = 1080
Task date  Profit    P
  0   11    1        0   
  12  23    1        0   
  14  30    1        -1  
  17  359   1        -1  
  24  30    1        -1  
  29  51    1        0   
  31  304   1        -1  
  34  349   1        -1  
  36  358   1        -1  
  54  74    1        -1  
  58  73    1        0   
  81  89    1        -1  
  83  102   1        0   
  113 206   1        -1  
  134 266   1        -1  
  141 364   1        -1  
  142 162   1        -1  
  146 167   1        -1  
  153 175   1        -1  
  158 176   1        -1  
  162 168   1        0   
  182 206   1        -1  
  184 191   1        0   
  196 208   1        0   
  215 225   1        -1  
  219 230   1        0   
  230 253   1        -1  
  252 259   1        0   
  271 287   1        -1  
  285 300   1        -1  
  287 296   1        0   
  301 302   1        0   
  321 327   1        0   
  340 349   1        0   
  352 366   1        -1  
  356 358   1        -1  
  357 367   1        0   
End
