NMec = 98629
T = 31
P = 6
Profits ignored
Solution time = 9.734e-01
Programing Tasks = 17
Terminal Cases = 10341
Task date  Profit    P
  1   19    1        -1  
  1   48    1        -1  
  2   11    1        0   
  6   22    1        1   
  8   20    1        2   
  9   17    1        3   
  12  26    1        0   
  12  30    1        4   
  15  46    1        -1  
  17  21    1        5   
  17  38    1        -1  
  18  30    1        3   
  20  41    1        -1  
  22  45    1        -1  
  23  40    1        -1  
  24  42    1        -1  
  27  51    1        -1  
  28  36    1        -1  
  29  35    1        0   
  29  36    1        -1  
  29  37    1        -1  
  30  41    1        -1  
  30  50    1        -1  
  31  47    1        1   
  33  39    1        2   
  34  39    1        3   
  35  42    1        4   
  35  43    1        5   
  36  45    1        0   
  41  50    1        2   
  46  51    1        0   
End
