NMec = 98629
T = 38
P = 6
Profits ignored
Solution time = 7.060e+02
Programing Tasks = 25
Terminal Cases = 245451
Task date  Profit    P
  2   24    1        -1  
  3   11    1        0   
  3   13    1        -1  
  4   17    1        1   
  6   8     1        2   
  8   21    1        3   
  10  15    1        2   
  10  21    1        4   
  12  18    1        0   
  12  22    1        5   
  14  33    1        -1  
  19  20    1        0   
  19  22    1        1   
  19  40    1        -1  
  20  28    1        2   
  24  36    1        -1  
  25  47    1        -1  
  27  31    1        -1  
  28  48    1        -1  
  29  31    1        0   
  29  33    1        1   
  29  35    1        2   
  30  33    1        3   
  31  35    1        4   
  31  40    1        5   
  32  48    1        -1  
  32  55    1        -1  
  35  60    1        -1  
  37  49    1        -1  
  38  63    1        -1  
  40  46    1        0   
  40  52    1        1   
  42  61    1        2   
  44  52    1        3   
  44  58    1        4   
  44  60    1        5   
  48  55    1        0   
  54  56    1        1   
End
