NMec = 98629
T = 28
P = 8
Profits ignored
Solution time = 4.423e-01
Programing Tasks = 18
Terminal Cases = 19
Task date  Profit    P
  1   8     1        0   
  1   11    1        1   
  1   17    1        2   
  1   22    1        -1  
  2   12    1        3   
  2   13    1        4   
  2   22    1        -1  
  3   16    1        5   
  3   29    1        -1  
  4   30    1        -1  
  5   30    1        -1  
  6   18    1        6   
  6   19    1        7   
  8   25    1        -1  
  9   23    1        -1  
  9   26    1        -1  
  9   29    1        -1  
  13  14    1        0   
  13  28    1        -1  
  13  30    1        1   
  14  22    1        3   
  14  23    1        4   
  17  34    1        0   
  17  34    1        5   
  18  33    1        2   
  19  31    1        6   
  21  22    1        7   
  26  30    1        3   
End
