NMec = 98629
T = 38
P = 1
Profits ignored
Solution time = 2.997e-01
Programing Tasks = 17
Terminal Cases = 1920
Task date  Profit    P
  7   27    1        -1  
  8   30    1        -1  
  15  23    1        0   
  35  339   1        -1  
  54  58    1        0   
  64  75    1        0   
  84  88    1        -1  
  84  100   1        0   
  91  103   1        -1  
  101 108   1        -1  
  102 112   1        0   
  112 120   1        -1  
  116 124   1        0   
  120 137   1        -1  
  130 145   1        -1  
  135 141   1        0   
  140 154   1        -1  
  150 161   1        0   
  151 345   1        -1  
  154 165   1        -1  
  158 175   1        -1  
  165 168   1        0   
  173 196   1        -1  
  185 211   1        -1  
  195 199   1        0   
  203 228   1        -1  
  209 231   1        -1  
  215 231   1        -1  
  216 233   1        0   
  234 245   1        0   
  252 256   1        0   
  272 280   1        0   
  294 301   1        -1  
  294 309   1        -1  
  300 303   1        0   
  308 320   1        0   
  346 366   1        -1  
  350 368   1        0   
End
