NMec = 98629
T = 28
P = 5
Profits ignored
Solution time = 7.502e-02
Programing Tasks = 14
Terminal Cases = 5082
Task date  Profit    P
  0   41    1        -1  
  2   28    1        -1  
  5   13    1        0   
  5   23    1        -1  
  8   27    1        -1  
  8   29    1        -1  
  9   25    1        -1  
  9   28    1        1   
  10  19    1        2   
  11  20    1        3   
  11  20    1        4   
  18  32    1        -1  
  18  37    1        -1  
  19  28    1        0   
  21  33    1        -1  
  21  37    1        -1  
  21  45    1        -1  
  22  32    1        -1  
  22  35    1        2   
  25  36    1        3   
  26  39    1        -1  
  28  45    1        -1  
  31  39    1        0   
  31  53    1        1   
  32  52    1        4   
  38  39    1        2   
  38  49    1        3   
  42  55    1        0   
End
