NMec = 98629
T = 28
P = 7
Profits ignored
Solution time = 6.630e-01
Programing Tasks = 19
Terminal Cases = 1299
Task date  Profit    P
  0   20    1        -1  
  0   30    1        -1  
  0   37    1        -1  
  1   23    1        -1  
  2   9     1        -1  
  2   12    1        0   
  4   12    1        1   
  4   18    1        2   
  6   7     1        3   
  6   27    1        -1  
  8   14    1        3   
  8   18    1        4   
  8   19    1        5   
  8   20    1        6   
  10  31    1        -1  
  13  21    1        -1  
  14  30    1        -1  
  15  24    1        0   
  18  33    1        1   
  20  28    1        2   
  20  31    1        3   
  20  38    1        4   
  21  25    1        5   
  21  26    1        6   
  25  39    1        0   
  26  27    1        5   
  27  39    1        6   
  30  34    1        2   
End
