NMec = 98629
T = 35
P = 1
Profits ignored
Solution time = 2.742e-01
Programing Tasks = 19
Terminal Cases = 8
Task date  Profit    P
  5   9     1        0   
  16  25    1        0   
  20  27    1        -1  
  36  52    1        0   
  66  73    1        0   
  72  84    1        -1  
  82  83    1        0   
  82  106   1        -1  
  84  99    1        0   
  93  107   1        -1  
  99  108   1        -1  
  106 116   1        0   
  145 154   1        0   
  146 158   1        -1  
  156 172   1        0   
  157 164   1        -1  
  171 180   1        -1  
  194 204   1        0   
  194 214   1        -1  
  201 220   1        -1  
  209 223   1        0   
  222 239   1        -1  
  224 233   1        0   
  237 245   1        0   
  269 281   1        0   
  272 290   1        -1  
  277 285   1        -1  
  282 289   1        0   
  292 306   1        0   
  300 309   1        -1  
  314 332   1        0   
  316 343   1        -1  
  319 329   1        -1  
  320 345   1        -1  
  334 343   1        0   
End
