NMec = 98629
T = 38
P = 7
Profits ignored
Solution time = 4.892e+02
Programing Tasks = 25
Terminal Cases = 179951
Task date  Profit    P
  0   13    1        -1  
  2   14    1        -1  
  2   25    1        -1  
  5   17    1        0   
  6   10    1        1   
  6   15    1        2   
  6   52    1        -1  
  7   17    1        3   
  8   53    1        -1  
  9   14    1        4   
  10  16    1        5   
  10  21    1        6   
  11  16    1        1   
  14  30    1        -1  
  15  21    1        4   
  15  35    1        -1  
  15  35    1        -1  
  16  18    1        2   
  19  32    1        -1  
  19  34    1        -1  
  20  31    1        -1  
  20  37    1        -1  
  20  41    1        -1  
  21  33    1        0   
  22  33    1        1   
  23  30    1        2   
  23  38    1        3   
  29  38    1        4   
  30  42    1        5   
  30  52    1        6   
  33  50    1        2   
  36  39    1        0   
  39  44    1        1   
  40  50    1        0   
  46  48    1        1   
  46  49    1        3   
  47  52    1        4   
  47  54    1        5   
End
