NMec = 98629
T = 29
P = 6
Profits ignored
Solution time = 3.436e-01
Programing Tasks = 15
Terminal Cases = 32291
Task date  Profit    P
  0   24    1        -1  
  1   10    1        0   
  4   21    1        -1  
  5   47    1        -1  
  6   16    1        1   
  7   11    1        2   
  7   24    1        -1  
  9   40    1        -1  
  11  21    1        -1  
  11  25    1        -1  
  12  25    1        -1  
  13  27    1        -1  
  14  30    1        -1  
  15  27    1        0   
  16  27    1        2   
  16  30    1        3   
  16  30    1        4   
  16  34    1        5   
  17  31    1        1   
  20  46    1        -1  
  21  48    1        -1  
  26  42    1        -1  
  26  45    1        -1  
  32  44    1        0   
  33  43    1        1   
  35  42    1        2   
  35  45    1        3   
  37  48    1        4   
  39  43    1        5   
End
