NMec = 98629
T = 33
P = 3
Profits ignored
Solution time = 5.549e-01
Programing Tasks = 16
Terminal Cases = 6200
Task date  Profit    P
  1   20    1        -1  
  1   108   1        -1  
  3   20    1        0   
  16  22    1        1   
  17  36    1        -1  
  19  25    1        2   
  19  37    1        -1  
  20  34    1        -1  
  21  95    1        -1  
  31  40    1        0   
  33  43    1        1   
  34  46    1        2   
  39  59    1        -1  
  47  63    1        -1  
  47  68    1        -1  
  48  71    1        -1  
  49  54    1        0   
  51  64    1        -1  
  51  71    1        -1  
  54  74    1        -1  
  58  64    1        0   
  58  66    1        1   
  58  70    1        2   
  68  87    1        -1  
  69  75    1        0   
  73  77    1        1   
  75  92    1        -1  
  77  87    1        -1  
  79  86    1        -1  
  80  96    1        0   
  82  104   1        1   
  84  88    1        2   
  94  102   1        2   
End
