NMec = 98629
T = 30
P = 4
Profits ignored
Solution time = 1.835e-01
Programing Tasks = 18
Terminal Cases = 8
Task date  Profit    P
  0   13    1        0   
  1   2     1        1   
  4   46    1        -1  
  6   20    1        1   
  8   13    1        2   
  9   24    1        -1  
  9   26    1        -1  
  9   33    1        -1  
  12  24    1        -1  
  13  24    1        3   
  13  39    1        -1  
  14  29    1        0   
  14  69    1        -1  
  16  38    1        -1  
  20  27    1        2   
  20  38    1        -1  
  22  26    1        1   
  22  46    1        -1  
  27  35    1        1   
  30  40    1        0   
  31  50    1        -1  
  32  48    1        2   
  32  50    1        3   
  35  57    1        -1  
  43  57    1        0   
  45  49    1        1   
  49  66    1        2   
  50  64    1        1   
  54  60    1        3   
  62  72    1        0   
End
