NMec = 98629
T = 37
P = 3
Profits ignored
Solution time = 1.272e+01
Programing Tasks = 21
Terminal Cases = 5148
Task date  Profit    P
  0   123   1        -1  
  1   12    1        0   
  23  26    1        0   
  23  33    1        1   
  24  29    1        2   
  27  41    1        0   
  30  35    1        2   
  37  58    1        -1  
  39  60    1        1   
  41  58    1        2   
  43  52    1        0   
  54  79    1        -1  
  56  78    1        -1  
  57  67    1        -1  
  60  70    1        -1  
  61  68    1        0   
  62  71    1        1   
  62  114   1        -1  
  63  69    1        2   
  70  93    1        -1  
  72  87    1        0   
  77  102   1        -1  
  80  89    1        -1  
  81  89    1        1   
  82  100   1        -1  
  84  101   1        2   
  89  100   1        0   
  92  108   1        -1  
  92  112   1        -1  
  94  106   1        1   
  98  121   1        -1  
  101 116   1        -1  
  103 111   1        -1  
  103 113   1        0   
  106 111   1        2   
  107 120   1        1   
  112 119   1        2   
End
