NMec = 98629
T = 27
P = 4
Profits ignored
Solution time = 4.388e-02
Programing Tasks = 17
Terminal Cases = 15
Task date  Profit    P
  1   57    1        -1  
  5   17    1        0   
  5   19    1        1   
  10  23    1        2   
  14  26    1        3   
  15  50    1        -1  
  21  34    1        0   
  26  31    1        1   
  29  43    1        2   
  29  45    1        -1  
  34  41    1        1   
  34  50    1        -1  
  34  63    1        -1  
  37  44    1        0   
  37  47    1        -1  
  37  58    1        -1  
  38  55    1        -1  
  40  47    1        -1  
  40  48    1        -1  
  42  51    1        1   
  43  52    1        3   
  45  54    1        0   
  45  59    1        2   
  56  61    1        0   
  58  66    1        1   
  59  67    1        3   
  65  66    1        0   
End
