NMec = 98629
T = 39
P = 4
Profits ignored
Solution time = 1.193e+02
Programing Tasks = 25
Terminal Cases = 692
Task date  Profit    P
  0   7     1        0   
  1   8     1        1   
  1   10    1        2   
  1   16    1        3   
  3   86    1        -1  
  4   27    1        -1  
  6   61    1        -1  
  15  28    1        0   
  15  31    1        1   
  17  92    1        -1  
  20  28    1        2   
  24  38    1        3   
  29  39    1        0   
  30  46    1        -1  
  30  46    1        -1  
  30  48    1        -1  
  35  40    1        1   
  37  48    1        2   
  38  61    1        -1  
  42  54    1        -1  
  42  56    1        -1  
  42  61    1        -1  
  43  61    1        0   
  44  55    1        1   
  44  61    1        3   
  51  56    1        2   
  52  71    1        -1  
  57  65    1        1   
  61  78    1        -1  
  65  71    1        0   
  66  71    1        1   
  67  75    1        2   
  68  87    1        -1  
  71  95    1        3   
  74  78    1        0   
  76  85    1        1   
  82  88    1        0   
  85  91    1        2   
  87  94    1        1   
End
