NMec = 98629
T = 28
P = 3
Profits ignored
Solution time = 6.447e-02
Programing Tasks = 16
Terminal Cases = 384
Task date  Profit    P
  0   87    1        -1  
  1   8     1        0   
  5   26    1        -1  
  6   7     1        1   
  7   19    1        2   
  16  37    1        -1  
  19  35    1        -1  
  20  23    1        0   
  21  29    1        1   
  22  36    1        2   
  23  59    1        -1  
  26  36    1        0   
  30  44    1        1   
  33  63    1        -1  
  34  84    1        -1  
  39  55    1        -1  
  40  46    1        -1  
  41  58    1        0   
  46  48    1        1   
  46  54    1        2   
  53  59    1        1   
  62  70    1        0   
  68  77    1        -1  
  68  78    1        -1  
  70  82    1        -1  
  70  89    1        1   
  73  93    1        0   
  77  85    1        2   
End
