NMec = 98629
T = 36
P = 2
Profits ignored
Solution time = 6.636e-01
Programing Tasks = 18
Terminal Cases = 1470
Task date  Profit    P
  1   22    1        -1  
  7   176   1        -1  
  9   28    1        -1  
  10  31    1        -1  
  12  15    1        -1  
  12  16    1        0   
  12  31    1        -1  
  13  26    1        -1  
  14  38    1        -1  
  15  26    1        1   
  20  33    1        0   
  24  162   1        -1  
  27  29    1        1   
  32  39    1        -1  
  33  40    1        -1  
  33  49    1        1   
  35  49    1        0   
  43  64    1        -1  
  54  66    1        0   
  55  154   1        -1  
  58  104   1        -1  
  61  65    1        1   
  68  85    1        0   
  81  88    1        1   
  92  105   1        0   
  100 110   1        -1  
  106 112   1        0   
  106 116   1        -1  
  106 127   1        1   
  113 120   1        0   
  129 143   1        -1  
  135 148   1        -1  
  139 143   1        0   
  143 156   1        1   
  153 164   1        0   
  163 171   1        1   
End
