NMec = 98629
T = 32
P = 6
Profits ignored
Solution time = 2.536e+00
Programing Tasks = 18
Terminal Cases = 26149
Task date  Profit    P
  1   11    1        -1  
  1   37    1        -1  
  1   52    1        -1  
  2   15    1        -1  
  3   16    1        -1  
  7   19    1        -1  
  8   11    1        0   
  8   14    1        -1  
  8   16    1        1   
  8   25    1        -1  
  9   23    1        2   
  9   27    1        3   
  10  15    1        4   
  11  27    1        5   
  11  35    1        -1  
  13  41    1        -1  
  14  20    1        0   
  15  32    1        -1  
  16  31    1        -1  
  19  28    1        1   
  20  21    1        4   
  20  34    1        -1  
  20  45    1        -1  
  26  44    1        0   
  27  42    1        2   
  28  31    1        3   
  28  47    1        4   
  28  50    1        5   
  30  37    1        1   
  34  40    1        3   
  44  49    1        1   
  47  51    1        0   
End
