NMec = 98491
T = 36
P = 4
Profits not ignored
Solution time = 4.323e+00
Best Profit = 45538
Terminal Cases = 439540838
Task date  Profit    P
  1   6     560      0   
  5   89    10924    1   
  6   62    3727     -1  
  7   31    1873     -1  
  8   86    5716     -1  
  12  19    1345     0   
  13  23    1723     2   
  18  22    699      -1  
  19  29    1909     -1  
  19  84    13267    3   
  22  45    2528     -1  
  23  28    933      0   
  24  31    1205     2   
  29  43    2535     0   
  29  44    1646     -1  
  31  46    2382     -1  
  31  53    3131     -1  
  32  38    958      -1  
  32  46    3015     -1  
  33  41    1433     -1  
  34  89    6704     2   
  37  45    952      -1  
  38  42    785      -1  
  38  42    653      -1  
  40  56    1754     -1  
  41  44    305      -1  
  42  50    1246     -1  
  44  64    4405     0   
  46  55    2341     -1  
  49  56    857      -1  
  51  59    916      -1  
  51  74    2493     -1  
  60  73    1748     -1  
  65  82    1783     -1  
  72  85    1937     0   
  78  79    436      -1  
End
