NMec = 98491
T = 32
P = 7
Profits not ignored
Solution time = 2.150e+00
Best Profit = 47075
Terminal Cases = 257126432
Task date  Profit    P
  0   45    4062     -1  
  1   14    2678     0   
  1   42    9400     1   
  2   13    1653     2   
  2   17    2183     3   
  2   22    4995     4   
  4   14    1275     -1  
  5   44    6751     5   
  7   16    2082     -1  
  7   28    2773     -1  
  7   29    4676     6   
  11  25    2471     -1  
  11  29    2786     -1  
  13  31    3724     -1  
  14  15    476      -1  
  14  17    1094     2   
  14  21    616      -1  
  14  25    1622     -1  
  16  39    2649     0   
  17  35    2444     -1  
  18  32    1556     -1  
  18  33    2376     -1  
  19  22    537      -1  
  19  28    976      -1  
  19  43    5951     2   
  21  36    1228     -1  
  22  31    2554     3   
  22  32    1069     -1  
  23  34    1285     4   
  26  35    1227     -1  
  28  36    844      -1  
  37  44    1206     3   
End
