NMec = 98491
T = 23
P = 6
Profits not ignored
Solution time = 2.295e-02
Best Profit = 34921
Terminal Cases = 2769912
Task date  Profit    P
  0   5     313      0   
  0   21    5246     1   
  1   4     424      2   
  1   28    4595     3   
  2   13    1728     4   
  2   17    1660     -1  
  2   27    5366     5   
  4   23    2649     -1  
  5   26    1354     -1  
  7   17    1346     -1  
  8   16    1854     0   
  8   26    5395     2   
  8   28    3551     -1  
  8   29    3652     -1  
  14  15    431      4   
  14  15    141      -1  
  14  38    1911     -1  
  18  28    921      -1  
  18  36    2598     0   
  21  35    3993     4   
  26  30    1293     1   
  30  33    1011     2   
  32  36    674      1   
End
