NMec = 98491
T = 31
P = 4
Profits not ignored
Solution time = 4.624e-01
Best Profit = 57130
Terminal Cases = 70706111
Task date  Profit    P
  0   12    1880     0   
  0   69    9828     -1  
  0   77    20066    1   
  1   25    3431     -1  
  3   14    1027     -1  
  4   20    2903     2   
  8   18    1039     -1  
  9   19    1486     3   
  12  26    2863     -1  
  15  20    660      0   
  16  25    2251     -1  
  20  29    2663     3   
  21  29    2353     -1  
  22  74    9687     0   
  23  48    5519     2   
  26  48    3070     -1  
  28  38    2620     -1  
  31  50    5235     3   
  31  50    5099     -1  
  32  43    1249     -1  
  33  55    1974     -1  
  34  54    1859     -1  
  36  43    743      -1  
  36  60    3428     -1  
  38  50    3556     -1  
  46  55    1666     -1  
  50  59    2211     2   
  54  62    1081     3   
  62  66    535      2   
  63  72    1108     3   
  68  77    2096     2   
End
