NMec = 98491
T = 31
P = 6
Profits not ignored
Solution time = 1.736e+00
Best Profit = 44830
Terminal Cases = 236191230
Task date  Profit    P
  1   5     571      0   
  1   10    689      1   
  2   17    2673     2   
  4   17    2027     3   
  5   17    2819     4   
  5   45    9218     5   
  6   17    1684     -1  
  9   34    7674     0   
  9   44    3589     -1  
  12  23    1381     -1  
  13  23    1905     -1  
  14  31    2389     -1  
  14  37    5358     1   
  15  34    2515     -1  
  16  28    1283     -1  
  17  32    878      -1  
  17  38    3536     -1  
  21  33    2183     2   
  27  38    2476     -1  
  27  50    1605     -1  
  29  36    785      -1  
  29  40    2878     3   
  30  39    2435     -1  
  30  44    2046     -1  
  30  47    2756     4   
  34  50    2726     2   
  36  47    1737     0   
  37  45    1725     -1  
  40  43    630      1   
  44  48    564      1   
  45  49    327      3   
End
