NMec = 98491
T = 25
P = 8
Profits not ignored
Solution time = 1.199e-01
Best Profit = 34968
Terminal Cases = 16736624
Task date  Profit    P
  0   20    1554     -1  
  1   4     325      0   
  1   14    2293     1   
  1   25    2286     -1  
  1   30    4379     2   
  3   17    2639     3   
  3   27    6241     4   
  4   19    2918     5   
  6   16    1965     0   
  7   11    444      6   
  7   21    1353     -1  
  8   14    597      -1  
  9   14    764      -1  
  9   30    2571     -1  
  11  22    1254     -1  
  12  24    2407     6   
  14  23    1271     -1  
  14  29    3344     7   
  15  21    982      -1  
  16  29    2257     1   
  17  24    1033     0   
  19  30    2552     3   
  22  27    533      5   
  25  29    907      0   
  26  29    731      6   
End
