NMec = 98491
T = 24
P = 3
Profits not ignored
Solution time = 7.897e-03
Best Profit = 26835
Terminal Cases = 1008672
Task date  Profit    P
  8   10    650      0   
  11  25    2374     0   
  12  24    3025     1   
  12  24    2095     2   
  15  35    2743     -1  
  17  23    1253     -1  
  17  25    1394     -1  
  18  30    1299     -1  
  18  35    2098     -1  
  22  28    448      -1  
  23  37    1782     -1  
  25  35    1628     1   
  26  33    1738     0   
  26  47    2531     2   
  29  47    1531     -1  
  33  50    1175     -1  
  36  41    705      -1  
  39  50    2429     0   
  40  55    2184     1   
  47  51    611      -1  
  51  63    3292     0   
  54  61    1717     2   
  64  74    1580     0   
  66  78    1592     1   
End
