NMec = 98491
T = 24
P = 5
Profits not ignored
Solution time = 1.053e-02
Best Profit = 32058
Terminal Cases = 1092242
Task date  Profit    P
  0   5     1258     0   
  0   5     1617     1   
  1   21    1939     -1  
  2   24    2811     -1  
  3   27    4334     2   
  5   15    1433     3   
  5   18    2920     4   
  7   19    2432     0   
  11  23    1057     -1  
  11  26    1819     -1  
  12  33    2107     -1  
  12  42    3358     -1  
  15  32    3131     -1  
  15  39    3123     -1  
  15  47    4574     1   
  17  19    794      -1  
  17  27    2953     -1  
  18  44    4225     3   
  19  37    5017     4   
  20  41    2409     -1  
  21  26    611      -1  
  23  35    3348     0   
  28  38    900      2   
  30  32    371      -1  
End
