NMec = 98491
T = 28
P = 7
Profits not ignored
Solution time = 8.160e-01
Best Profit = 36048
Terminal Cases = 111826212
Task date  Profit    P
  0   4     768      0   
  0   9     1057     1   
  0   11    2851     2   
  0   26    1838     -1  
  1   5     369      3   
  1   19    2343     4   
  4   8     608      -1  
  4   24    2431     -1  
  4   27    5850     5   
  5   19    2357     0   
  7   12    438      -1  
  7   14    946      3   
  7   20    1101     -1  
  7   22    2669     6   
  11  26    1987     1   
  12  28    3186     2   
  13  29    1491     -1  
  16  31    3934     3   
  17  25    1953     -1  
  17  28    1579     -1  
  18  25    591      -1  
  20  24    627      0   
  22  33    2225     4   
  24  28    1186     6   
  24  31    1100     -1  
  25  35    1729     0   
  29  35    787      1   
  29  39    1177     2   
End
