NMec = 98491
T = 37
P = 1
Profits not ignored
Solution time = 1.258e-01
Best Profit = 62115
Terminal Cases = 11545606
Task date  Profit    P
  11  12    216      -1  
  11  18    743      0   
  15  306   29265    -1  
  20  28    997      -1  
  21  324   37901    -1  
  26  44    4484     0   
  45  66    3984     0   
  67  332   31720    -1  
  71  90    2213     -1  
  73  89    2454     0   
  76  89    1003     -1  
  93  103   1939     0   
  103 362   27962    -1  
  106 112   636      0   
  113 134   3594     0   
  113 134   3106     -1  
  120 131   1423     -1  
  137 150   1728     0   
  138 287   23805    -1  
  165 168   780      0   
  166 189   2127     -1  
  172 176   472      0   
  178 190   1635     -1  
  180 324   35796    0   
  212 222   1807     -1  
  217 230   858      -1  
  220 228   1053     -1  
  220 245   1680     -1  
  257 282   3010     -1  
  274 301   2693     -1  
  300 309   912      -1  
  307 329   2822     -1  
  318 333   2436     -1  
  330 345   2463     0   
  343 352   1451     -1  
  347 355   1527     0   
  359 367   1515     0   
End
