NMec = 98491
T = 29
P = 8
Profits not ignored
Solution time = 2.524e+00
Best Profit = 39871
Terminal Cases = 344438382
Task date  Profit    P
  0   6     714      0   
  0   14    3377     1   
  0   32    2796     -1  
  1   12    2457     2   
  3   21    3322     3   
  4   17    1740     4   
  4   19    3038     5   
  7   14    1357     0   
  7   18    1396     -1  
  8   34    5465     6   
  9   19    1136     -1  
  10  13    877      -1  
  11  19    1751     -1  
  11  26    1983     -1  
  11  35    4377     7   
  13  22    1400     2   
  15  16    255      0   
  16  17    219      1   
  17  18    491      0   
  18  22    543      1   
  18  31    1260     4   
  19  28    941      -1  
  20  22    450      0   
  20  31    1913     5   
  21  29    902      -1  
  22  31    1492     3   
  23  32    2282     0   
  24  36    2554     1   
  25  32    1165     2   
End
